关键词,主题数标号,主题
进口,0,"0.078*""博会"" + 0.034*""进口"" + 0.023*""全球"" + 0.021*""国家"" + 0.021*""企业"""
进口,1,"0.087*""中国"" + 0.074*""美国"" + 0.036*""产品"" + 0.030*""关税"" + 0.026*""进口"""
进口,2,"0.080*""进口"" + 0.038*""原料"" + 0.029*""跨境"" + 0.027*""俄罗斯"" + 0.022*""电商"""
进口,3,"0.068*""进口"" + 0.055*""美国"" + 0.049*""中国"" + 0.044*""关税"" + 0.042*""实施"""
进口,4,"0.069*""进口"" + 0.064*""中国"" + 0.041*""增长"" + 0.032*""进出口"" + 0.023*""世界"""
进口,5,"0.158*""进口"" + 0.111*""博览会"" + 0.087*""中国"" + 0.068*""国际"" + 0.039*""上海"""
进口,6,"0.089*""进口"" + 0.027*""食品"" + 0.019*""中国"" + 0.014*""时候"" + 0.014*""大家"""
进口,7,"0.061*""进口"" + 0.040*""进口车"" + 0.035*""视频"" + 0.029*""汽车"" + 0.020*""高端"""
进口,8,"0.095*""进口"" + 0.045*""日本"" + 0.042*""抗癌药"" + 0.042*""零关税"" + 0.020*""海关"""
进口,9,"0.096*""进口"" + 0.064*""限时"" + 0.027*""领券"" + 0.023*""新闻"" + 0.016*""货物"""
出口,0,"0.078*""直播"" + 0.054*""出口"" + 0.039*""进出口"" + 0.022*""公司"" + 0.019*""国家"""
出口,1,"0.094*""出口"" + 0.081*""高速公路"" + 0.070*""路况"" + 0.068*""天津"" + 0.025*""方向"""
出口,2,"0.077*""出口"" + 0.062*""没有"" + 0.025*""见到"" + 0.021*""可能"" + 0.019*""地铁"""
出口,3,"0.037*""发生"" + 0.023*""生活"" + 0.023*""隧道"" + 0.021*""注意"" + 0.019*""渴望"""
出口,4,"0.106*""中国"" + 0.071*""美国"" + 0.054*""出口"" + 0.023*""企业"" + 0.023*""经济"""
出口,5,"0.080*""出口"" + 0.057*""超话"" + 0.039*""弟弟"" + 0.028*""伊朗"" + 0.020*""演讲"""
出口,6,"0.059*""出口"" + 0.026*""世界"" + 0.024*""产品"" + 0.020*""没有"" + 0.015*""秘密"""
出口,7,"0.057*""出口"" + 0.056*""收费站"" + 0.034*""视频"" + 0.018*""发现"" + 0.018*""逃生"""
出口,8,"0.024*""觉得"" + 0.022*""车辆"" + 0.020*""音乐"" + 0.016*""车道"" + 0.014*""爱情"""
出口,9,"0.042*""出口"" + 0.024*""路段"" + 0.020*""朋友"" + 0.019*""生产"" + 0.017*""需要"""
进出口,0,"0.070*""进出口"" + 0.056*""中国"" + 0.029*""原产"" + 0.029*""税则"" + 0.029*""关税"""
进出口,1,"0.069*""时间"" + 0.024*""中国"" + 0.024*""贸易"" + 0.024*""成都"" + 0.024*""通关"""
进出口,2,"0.052*""通关"" + 0.052*""小时"" + 0.052*""旅客"" + 0.052*""成都"" + 0.052*""国际"""
进出口,3,"0.053*""生产"" + 0.028*""进出口"" + 0.028*""公司"" + 0.028*""银行业"" + 0.028*""贵港"""
进出口,4,"0.047*""进出口"" + 0.024*""企业"" + 0.024*""中国"" + 0.024*""扩大"" + 0.024*""犀牛"""
进出口,5,"0.048*""中国"" + 0.048*""进出口"" + 0.032*""企业"" + 0.032*""国际"" + 0.017*""贸易"""
进出口,6,"0.044*""新闻"" + 0.044*""记者"" + 0.044*""有关"" + 0.044*""发布会"" + 0.044*""情况"""
进出口,7,"0.032*""中国"" + 0.032*""防范"" + 0.032*""旅客"" + 0.032*""辖区"" + 0.032*""保山"""
进出口,8,"0.045*""进出口"" + 0.045*""服务"" + 0.023*""企业"" + 0.023*""出口"" + 0.023*""通知"""
进出口,9,"0.053*""服务"" + 0.036*""通关"" + 0.036*""成都"" + 0.036*""英国"" + 0.036*""进出口"""
关税,0,"0.109*""关税"" + 0.043*""美国"" + 0.021*""中国"" + 0.019*""市场"" + 0.019*""时间"""
关税,1,"0.066*""关税"" + 0.044*""中国"" + 0.036*""美国"" + 0.026*""大豆"" + 0.022*""应该"""
关税,2,"0.067*""关税"" + 0.050*""问题"" + 0.043*""美国"" + 0.043*""共识"" + 0.036*""中国"""
关税,3,"0.136*""关税"" + 0.115*""加征"" + 0.109*""中国"" + 0.083*""美国"" + 0.047*""商品"""
关税,4,"0.073*""关税"" + 0.063*""达成"" + 0.053*""中国"" + 0.048*""美国"" + 0.035*""经贸"""
关税,5,"0.088*""美国"" + 0.070*""贸易"" + 0.067*""关税"" + 0.055*""企业"" + 0.051*""中国"""
关税,6,"0.085*""停止"" + 0.069*""关税"" + 0.043*""美国"" + 0.033*""国家"" + 0.029*""中国"""
关税,7,"0.084*""美国"" + 0.056*""中国"" + 0.047*""关税"" + 0.032*""贸易"" + 0.029*""苹果"""
关税,8,"0.119*""关税"" + 0.109*""美国"" + 0.057*""中国"" + 0.036*""贸易"" + 0.035*""汽车"""
关税,9,"0.054*""关税"" + 0.036*""土耳其"" + 0.030*""部分"" + 0.029*""美国"" + 0.023*""市场"""
外贸,0,"0.096*""外贸"" + 0.032*""计划"" + 0.019*""中国"" + 0.015*""电商"" + 0.014*""无法"""
外贸,1,"0.044*""工作"" + 0.038*""仓库"" + 0.027*""外贸"" + 0.023*""中央"" + 0.016*""鼓掌"""
外贸,2,"0.084*""外贸"" + 0.019*""物流"" + 0.019*""开心"" + 0.018*""点击"" + 0.013*""预计"""
外贸,3,"0.101*""外贸"" + 0.023*""经济"" + 0.017*""中国"" + 0.013*""国际"" + 0.013*""订单"""
外贸,4,"0.059*""外贸"" + 0.045*""中国"" + 0.018*""学院"" + 0.017*""总额"" + 0.016*""贸易"""
外贸,5,"0.024*""商业"" + 0.022*""外贸"" + 0.021*""经济"" + 0.019*""企业"" + 0.016*""工作"""
外贸,6,"0.043*""外贸"" + 0.036*""数字化"" + 0.024*""服务"" + 0.020*""会议"" + 0.017*""跨境"""
外贸,7,"0.030*""外贸"" + 0.021*""工厂"" + 0.016*""销售"" + 0.016*""宁波"" + 0.015*""客户"""
外贸,8,"0.064*""外贸"" + 0.041*""经济"" + 0.024*""增长"" + 0.017*""环境"" + 0.017*""开放"""
外贸,9,"0.034*""预期"" + 0.024*""外贸"" + 0.023*""经济运行"" + 0.021*""全省"" + 0.017*""保持"""
进口壁垒,0,"0.083*""美国"" + 0.083*""关税"" + 0.083*""产品"" + 0.083*""钢铝"" + 0.083*""南洋"""
进口壁垒,1,"0.083*""美国"" + 0.083*""产品"" + 0.083*""关税"" + 0.083*""行业"" + 0.083*""南洋"""
进口壁垒,2,"0.083*""产品"" + 0.083*""关税"" + 0.083*""美国"" + 0.083*""钢铝"" + 0.083*""行业"""
进口壁垒,3,"0.177*""美国"" + 0.177*""关税"" + 0.177*""征收"" + 0.177*""产品"" + 0.177*""钢铝"""
进口壁垒,4,"0.083*""关税"" + 0.083*""产品"" + 0.083*""美国"" + 0.083*""农民"" + 0.083*""行业"""
进口壁垒,5,"0.083*""美国"" + 0.083*""关税"" + 0.083*""产品"" + 0.083*""钢铝"" + 0.083*""农民"""
进口壁垒,6,"0.083*""关税"" + 0.083*""美国"" + 0.083*""产品"" + 0.083*""钢铝"" + 0.083*""用户"""
进口壁垒,7,"0.083*""产品"" + 0.083*""关税"" + 0.083*""美国"" + 0.083*""钢铝"" + 0.083*""农民"""
进口壁垒,8,"0.177*""密封"" + 0.177*""进口"" + 0.177*""产品"" + 0.177*""用户"" + 0.177*""行业"""
进口壁垒,9,"0.177*""过程中将"" + 0.177*""南洋"" + 0.177*""美国"" + 0.177*""关税"" + 0.177*""农民"""
政府补贴,0,"0.035*""补贴"" + 0.033*""政府"" + 0.026*""新能源"" + 0.020*""公司"" + 0.020*""汽车"""
政府补贴,1,"0.067*""补贴"" + 0.021*""政策"" + 0.017*""家庭"" + 0.017*""政府"" + 0.014*""汽车"""
政府补贴,2,"0.053*""补贴"" + 0.024*""政府"" + 0.014*""企业"" + 0.008*""中国"" + 0.008*""汽车"""
政府补贴,3,"0.051*""补贴"" + 0.023*""政府"" + 0.010*""成本"" + 0.010*""企业"" + 0.008*""公司"""
政府补贴,4,"0.082*""补贴"" + 0.047*""政府"" + 0.023*""美国"" + 0.013*""中国"" + 0.013*""企业"""
政府补贴,5,"0.056*""政府"" + 0.054*""补贴"" + 0.012*""没有"" + 0.011*""汽车"" + 0.008*""发展"""
政府补贴,6,"0.030*""政府"" + 0.030*""补贴"" + 0.012*""中国"" + 0.011*""居民"" + 0.009*""建议"""
政府补贴,7,"0.034*""补贴"" + 0.018*""中国"" + 0.009*""电梯"" + 0.008*""退市"" + 0.007*""建筑"""
政府补贴,8,"0.027*""补贴"" + 0.021*""政府"" + 0.017*""生育"" + 0.013*""日本"" + 0.009*""人口"""
政府补贴,9,"0.048*""补贴"" + 0.041*""政府"" + 0.010*""孩子"" + 0.010*""缴费"" + 0.010*""标准"""
世贸组织,0,"0.106*""中国"" + 0.052*""美国"" + 0.037*""加入"" + 0.024*""争端"" + 0.021*""世界"""
世贸组织,1,"0.071*""中国"" + 0.029*""规则"" + 0.021*""美国"" + 0.016*""成员"" + 0.013*""贸易"""
世贸组织,2,"0.089*""美国"" + 0.053*""贸易"" + 0.044*""中国"" + 0.019*""退出"" + 0.019*""规则"""
世贸组织,3,"0.053*""美国"" + 0.041*""措施"" + 0.035*""没有"" + 0.029*""中国"" + 0.029*""征税"""
世贸组织,4,"0.082*""中国"" + 0.075*""美国"" + 0.042*""征税"" + 0.041*""措施"" + 0.039*""起诉"""
世贸组织,5,"0.040*""中国"" + 0.032*""解决"" + 0.029*""全民"" + 0.029*""一幕幕"" + 0.027*""青春"""
世贸组织,6,"0.084*""中国"" + 0.040*""美国"" + 0.028*""全球"" + 0.028*""贸易"" + 0.026*""经济"""
世贸组织,7,"0.037*""中国"" + 0.029*""美国"" + 0.024*""征税"" + 0.024*""措施"" + 0.021*""改革"""
世贸组织,8,"0.062*""中国"" + 0.051*""美国"" + 0.031*""体制"" + 0.026*""规则"" + 0.023*""发展"""
世贸组织,9,"0.052*""中国"" + 0.040*""贸易"" + 0.025*""表示"" + 0.019*""美国"" + 0.019*""措施"""
世界贸易组织,0,"0.040*""中国"" + 0.033*""经济"" + 0.027*""全球"" + 0.027*""世界"" + 0.020*""贸易"""
世界贸易组织,1,"0.022*""中国"" + 0.018*""改革"" + 0.018*""峰会"" + 0.015*""加入"" + 0.015*""规则"""
世界贸易组织,2,"0.044*""中国"" + 0.041*""美国"" + 0.019*""贸易"" + 0.019*""全球"" + 0.019*""报告"""
世界贸易组织,3,"0.106*""美国"" + 0.076*""中国"" + 0.039*""贸易"" + 0.024*""退出"" + 0.012*""吃亏"""
世界贸易组织,4,"0.058*""中国"" + 0.036*""美国"" + 0.029*""贸易"" + 0.029*""改革"" + 0.021*""规则"""
世界贸易组织,5,"0.021*""改革"" + 0.019*""美国"" + 0.019*""全球"" + 0.019*""国家"" + 0.019*""欧洲"""
世界贸易组织,6,"0.060*""美国"" + 0.041*""中国"" + 0.037*""贸易"" + 0.030*""表示"" + 0.026*""退出"""
世界贸易组织,7,"0.063*""美国"" + 0.055*""贸易"" + 0.024*""国家"" + 0.016*""吃亏"" + 0.016*""退出"""
世界贸易组织,8,"0.070*""中国"" + 0.065*""美国"" + 0.027*""贸易"" + 0.022*""退出"" + 0.022*""企业"""
世界贸易组织,9,"0.105*""中国"" + 0.060*""经济"" + 0.033*""贸易"" + 0.030*""美国"" + 0.030*""世界"""
贸易条约,0,"0.074*""美国"" + 0.074*""要求"" + 0.074*""提出"" + 0.074*""中国"" + 0.074*""不得"""
贸易条约,1,"0.138*""条约"" + 0.070*""贸易"" + 0.037*""协议"" + 0.037*""改善"" + 0.037*""改进"""
贸易条约,2,"0.089*""契约"" + 0.089*""美国"" + 0.060*""退出"" + 0.060*""国际"" + 0.032*""法律"""
贸易条约,3,"0.044*""政府"" + 0.044*""合作"" + 0.044*""国家"" + 0.044*""时代"" + 0.044*""古巴"""
贸易条约,4,"0.056*""美国"" + 0.056*""中国"" + 0.056*""有关"" + 0.056*""磋商"" + 0.056*""提出"""
贸易条约,5,"0.056*""日本"" + 0.056*""股评家"" + 0.056*""组织"" + 0.056*""不能"" + 0.056*""俄罗斯"""
贸易条约,6,"0.059*""规则"" + 0.059*""措施"" + 0.059*""承诺"" + 0.059*""中国"" + 0.059*""韩国"""
贸易条约,7,"0.074*""条约"" + 0.074*""违背"" + 0.074*""规定"" + 0.074*""行为"" + 0.074*""政府"""
贸易条约,8,"0.060*""美国"" + 0.060*""总统"" + 0.060*""协定"" + 0.032*""问题"" + 0.032*""时期"""
贸易条约,9,"0.044*""条约"" + 0.044*""美国"" + 0.044*""文章"" + 0.044*""用于"" + 0.044*""问题"""
贸易协定,0,"0.089*""美国"" + 0.071*""贸易"" + 0.029*""中国"" + 0.015*""协定"" + 0.014*""退出"""
贸易协定,1,"0.057*""加拿大"" + 0.056*""美国"" + 0.025*""墨西哥"" + 0.025*""达成"" + 0.024*""贸易"""
贸易协定,2,"0.060*""美国"" + 0.037*""达成"" + 0.031*""加拿大"" + 0.031*""贸易"" + 0.025*""协定"""
贸易协定,3,"0.086*""美国"" + 0.046*""协定"" + 0.043*""加拿大"" + 0.041*""谈判"" + 0.027*""达成"""
贸易协定,4,"0.026*""贸易"" + 0.026*""签署"" + 0.020*""中国"" + 0.020*""国家"" + 0.017*""协议"""
贸易协定,5,"0.037*""中国"" + 0.017*""美国"" + 0.017*""贸易"" + 0.016*""加拿大"" + 0.013*""推动"""
贸易协定,6,"0.056*""美国"" + 0.049*""谈判"" + 0.044*""协定"" + 0.031*""贸易"" + 0.026*""中国"""
贸易协定,7,"0.069*""美国"" + 0.031*""中国"" + 0.030*""加拿大"" + 0.027*""经济"" + 0.025*""贸易"""
贸易协定,8,"0.064*""加拿大"" + 0.064*""美国"" + 0.053*""墨西哥"" + 0.046*""贸易"" + 0.037*""达成"""
贸易协定,9,"0.052*""协议"" + 0.034*""贸易"" + 0.032*""墨西哥"" + 0.029*""加拿大"" + 0.022*""签署"""
贸易政策,0,"0.044*""经济"" + 0.025*""中国"" + 0.015*""增长"" + 0.015*""可能"" + 0.014*""贸易"""
贸易政策,1,"0.039*""贸易"" + 0.036*""政策"" + 0.032*""中国"" + 0.022*""美国"" + 0.015*""问题"""
贸易政策,2,"0.038*""美国"" + 0.030*""中国"" + 0.027*""国家"" + 0.026*""贸易"" + 0.014*""海南"""
贸易政策,3,"0.078*""政策"" + 0.069*""贸易"" + 0.049*""中国"" + 0.028*""经济"" + 0.023*""美国"""
贸易政策,4,"0.072*""贸易"" + 0.039*""美国"" + 0.035*""中国"" + 0.028*""经济"" + 0.019*""政策"""
贸易政策,5,"0.057*""美国"" + 0.037*""贸易"" + 0.024*""政策"" + 0.015*""中国"" + 0.013*""人民币"""
贸易政策,6,"0.080*""美国"" + 0.065*""贸易"" + 0.059*""政策"" + 0.049*""经济"" + 0.029*""中国"""
贸易政策,7,"0.039*""政策"" + 0.037*""中国"" + 0.016*""贸易"" + 0.016*""货币政策"" + 0.013*""美国"""
贸易政策,8,"0.077*""美国"" + 0.043*""政策"" + 0.041*""贸易"" + 0.039*""中国"" + 0.025*""经济"""
贸易政策,9,"0.039*""政策"" + 0.035*""贸易"" + 0.028*""经济"" + 0.026*""美国"" + 0.025*""可能"""
贸易法,0,"0.121*""关税"" + 0.064*""中国"" + 0.064*""美国"" + 0.064*""贸易"" + 0.064*""代表"""
贸易法,1,"0.089*""条款"" + 0.089*""就业机会"" + 0.089*""失去"" + 0.089*""钢铝"" + 0.089*""生产"""
贸易法,2,"0.049*""中国"" + 0.049*""采取"" + 0.049*""方面"" + 0.049*""征税"" + 0.049*""资本"""
贸易法,3,"0.137*""美国"" + 0.083*""中国"" + 0.056*""调查"" + 0.056*""对华贸易"" + 0.056*""贸易"""
贸易法,4,"0.089*""主打"" + 0.089*""比赛"" + 0.089*""知识"" + 0.089*""认为"" + 0.089*""贸易法"""
贸易法,5,"0.089*""贸易"" + 0.089*""报名条件"" + 0.089*""英国"" + 0.089*""雇佣"" + 0.089*""律师"""
贸易法,6,"0.139*""美国"" + 0.094*""调查"" + 0.094*""中国"" + 0.049*""知识产权"" + 0.049*""可见"""
贸易法,7,"0.127*""贸易"" + 0.127*""美国"" + 0.127*""中国"" + 0.034*""采取"" + 0.034*""大陆"""
贸易法,8,"0.064*""中国"" + 0.064*""采取"" + 0.064*""贸易"" + 0.064*""方面"" + 0.064*""征税"""
贸易法,9,"0.150*""条款"" + 0.114*""行动"" + 0.114*""发表"" + 0.114*""代表"" + 0.114*""采取"""
多哈回合,0,"0.063*""回合"" + 0.063*""南美"" + 0.063*""鏖战"" + 0.063*""问题"" + 0.063*""比赛"""
多哈回合,1,"0.063*""回合"" + 0.063*""南美"" + 0.063*""鏖战"" + 0.063*""比赛"" + 0.062*""决赛"""
多哈回合,2,"0.063*""回合"" + 0.063*""南美"" + 0.063*""比赛"" + 0.063*""问题"" + 0.063*""决赛"""
多哈回合,3,"0.063*""回合"" + 0.063*""南美"" + 0.063*""比赛"" + 0.063*""鏖战"" + 0.062*""区次"""
多哈回合,4,"0.063*""回合"" + 0.063*""南美"" + 0.063*""鏖战"" + 0.063*""比赛"" + 0.063*""问题"""
多哈回合,5,"0.181*""回合"" + 0.095*""半决赛"" + 0.095*""认为"" + 0.095*""率领"" + 0.095*""南美"""
多哈回合,6,"0.063*""回合"" + 0.063*""南美"" + 0.063*""比赛"" + 0.063*""率领"" + 0.062*""面对"""
多哈回合,7,"0.063*""回合"" + 0.063*""南美"" + 0.063*""比赛"" + 0.063*""鏖战"" + 0.063*""区次"""
多哈回合,8,"0.181*""回合"" + 0.095*""学文"" + 0.095*""俱乐"" + 0.095*""南美"" + 0.095*""希望"""
多哈回合,9,"0.063*""回合"" + 0.063*""南美"" + 0.063*""比赛"" + 0.063*""决赛"" + 0.063*""问题"""
乌拉圭回合,0,"0.200*""乌拉圭"" + 0.200*""贸易谈判"" + 0.200*""回合"" + 0.200*""结束"" + 0.200*""谈判"""
乌拉圭回合,1,"0.200*""乌拉圭"" + 0.200*""贸易谈判"" + 0.200*""结束"" + 0.200*""谈判"" + 0.200*""回合"""
乌拉圭回合,2,"0.200*""乌拉圭"" + 0.200*""回合"" + 0.200*""谈判"" + 0.200*""结束"" + 0.200*""贸易谈判"""
乌拉圭回合,3,"0.200*""结束"" + 0.200*""乌拉圭"" + 0.200*""谈判"" + 0.200*""回合"" + 0.200*""贸易谈判"""
乌拉圭回合,4,"0.200*""回合"" + 0.200*""结束"" + 0.200*""谈判"" + 0.200*""乌拉圭"" + 0.200*""贸易谈判"""
乌拉圭回合,5,"0.200*""回合"" + 0.200*""贸易谈判"" + 0.200*""谈判"" + 0.200*""结束"" + 0.200*""乌拉圭"""
乌拉圭回合,6,"0.200*""谈判"" + 0.200*""贸易谈判"" + 0.200*""回合"" + 0.200*""结束"" + 0.200*""乌拉圭"""
乌拉圭回合,7,"0.200*""乌拉圭"" + 0.200*""结束"" + 0.200*""贸易谈判"" + 0.200*""回合"" + 0.200*""谈判"""
乌拉圭回合,8,"0.200*""乌拉圭"" + 0.200*""贸易谈判"" + 0.200*""结束"" + 0.200*""回合"" + 0.200*""谈判"""
乌拉圭回合,9,"0.200*""贸易谈判"" + 0.200*""结束"" + 0.200*""回合"" + 0.200*""乌拉圭"" + 0.200*""谈判"""
倾销,0,"0.053*""反倾销"" + 0.044*""中国"" + 0.039*""调查"" + 0.025*""征收"" + 0.020*""发起"""
倾销,1,"0.042*""倾销"" + 0.036*""美国"" + 0.030*""中国"" + 0.030*""反倾销"" + 0.013*""调查"""
倾销,2,"0.025*""中国"" + 0.019*""倾销"" + 0.019*""美国"" + 0.019*""发布"" + 0.019*""低价"""
倾销,3,"0.054*""中国"" + 0.035*""美国"" + 0.030*""市场"" + 0.025*""反倾销"" + 0.020*""措施"""
倾销,4,"0.059*""反倾销"" + 0.041*""调查"" + 0.041*""中国"" + 0.036*""贸易"" + 0.032*""措施"""
倾销,5,"0.059*""中国"" + 0.056*""反倾销"" + 0.034*""发起"" + 0.034*""调查"" + 0.023*""产品"""
倾销,6,"0.058*""中国"" + 0.026*""反倾销"" + 0.026*""美国"" + 0.016*""产品"" + 0.016*""产业"""
倾销,7,"0.054*""反倾销"" + 0.030*""措施"" + 0.025*""调查"" + 0.016*""中国"" + 0.016*""美国"""
倾销,8,"0.075*""中国"" + 0.035*""调查"" + 0.024*""措施"" + 0.024*""倾销"" + 0.021*""反倾销"""
倾销,9,"0.032*""中国"" + 0.027*""反倾销"" + 0.022*""美国"" + 0.016*""产品"" + 0.016*""调查"""
不公平竞争,0,"0.035*""中国"" + 0.026*""教育"" + 0.018*""乡村"" + 0.018*""公平"" + 0.018*""孩子"""
不公平竞争,1,"0.033*""公平"" + 0.025*""竞争"" + 0.025*""美国"" + 0.017*""中国"" + 0.017*""贸易"""
不公平竞争,2,"0.025*""中国"" + 0.017*""美国"" + 0.017*""补贴"" + 0.017*""竞争对手"" + 0.009*""出口"""
不公平竞争,3,"0.033*""美国"" + 0.023*""公平"" + 0.023*""中国"" + 0.023*""大量"" + 0.023*""竞争"""
不公平竞争,4,"0.037*""竞争"" + 0.025*""造成"" + 0.025*""美国"" + 0.025*""公平"" + 0.013*""汇率"""
不公平竞争,5,"0.025*""竞争"" + 0.017*""产品"" + 0.017*""大量"" + 0.017*""房屋"" + 0.017*""租不起"""
不公平竞争,6,"0.023*""中国"" + 0.023*""政商"" + 0.012*""美国"" + 0.012*""没有"" + 0.012*""行动"""
不公平竞争,7,"0.034*""中国"" + 0.023*""应该"" + 0.023*""影响"" + 0.023*""没有"" + 0.012*""竞争"""
不公平竞争,8,"0.050*""中国"" + 0.043*""美国"" + 0.029*""公平"" + 0.022*""经济"" + 0.015*""竞争"""
不公平竞争,9,"0.063*""公平"" + 0.043*""竞争"" + 0.011*""经济"" + 0.011*""引发"" + 0.011*""开始"""
不公平补贴,0,"0.139*""驻外"" + 0.139*""桃儿"" + 0.139*""买车"" + 0.139*""北京"" + 0.139*""单位"""
不公平补贴,1,"0.139*""南大"" + 0.139*""还有"" + 0.139*""同学"" + 0.139*""维权"" + 0.139*""不想"""
不公平补贴,2,"0.034*""公平"" + 0.034*""贸易"" + 0.034*""行为"" + 0.034*""伙伴"" + 0.034*""扭曲"""
不公平补贴,3,"0.139*""公平"" + 0.139*""支付"" + 0.139*""本质"" + 0.139*""民众"" + 0.139*""补贴"""
不公平补贴,4,"0.034*""公平"" + 0.034*""伙伴"" + 0.034*""行为"" + 0.034*""贸易"" + 0.034*""扭曲"""
不公平补贴,5,"0.139*""员工"" + 0.139*""负数"" + 0.139*""辍学"" + 0.139*""女孩"" + 0.139*""打工"""
不公平补贴,6,"0.139*""富人"" + 0.139*""家庭"" + 0.139*""穷人"" + 0.139*""银行"" + 0.139*""金融"""
不公平补贴,7,"0.034*""伙伴"" + 0.034*""公平"" + 0.034*""贸易"" + 0.034*""行为"" + 0.034*""单位"""
不公平补贴,8,"0.163*""公平"" + 0.163*""扭曲"" + 0.163*""行为"" + 0.163*""伙伴"" + 0.163*""贸易"""
不公平补贴,9,"0.034*""公平"" + 0.034*""贸易"" + 0.034*""伙伴"" + 0.034*""扭曲"" + 0.034*""行为"""
贸易战,0,"0.133*""中国"" + 0.111*""美国"" + 0.048*""贸易"" + 0.024*""问题"" + 0.023*""经济"""
贸易战,1,"0.059*""美国"" + 0.058*""中国"" + 0.025*""国家"" + 0.018*""可能"" + 0.017*""需要"""
贸易战,2,"0.058*""中国"" + 0.046*""美国"" + 0.026*""经济"" + 0.021*""投资"" + 0.019*""全球"""
贸易战,3,"0.059*""中国"" + 0.044*""美国"" + 0.032*""企业"" + 0.029*""日本"" + 0.022*""影响"""
贸易战,4,"0.055*""中国"" + 0.044*""经济"" + 0.028*""美国"" + 0.024*""金融"" + 0.021*""中美"""
贸易战,5,"0.047*""美国"" + 0.042*""中国"" + 0.027*""经济"" + 0.024*""世界"" + 0.017*""利益"""
贸易战,6,"0.069*""中国"" + 0.050*""美国"" + 0.039*""股市"" + 0.026*""人民币"" + 0.025*""市场"""
贸易战,7,"0.025*""中国"" + 0.024*""没有"" + 0.022*""结束"" + 0.019*""市场"" + 0.018*""预期"""
贸易战,8,"0.070*""文章"" + 0.051*""头条"" + 0.043*""美国"" + 0.026*""中国"" + 0.024*""发布"""
贸易战,9,"0.032*""双方"" + 0.026*""中美"" + 0.024*""汇率"" + 0.019*""风险"" + 0.016*""谈判"""
贸易摩擦,0,"0.132*""贸易"" + 0.123*""年度"" + 0.120*""摩擦"" + 0.062*""揭晓"" + 0.049*""升级"""
贸易摩擦,1,"0.101*""市场"" + 0.046*""经济"" + 0.042*""特色"" + 0.030*""当选"" + 0.026*""大国"""
贸易摩擦,2,"0.094*""经济"" + 0.077*""全球"" + 0.025*""先生"" + 0.025*""知道"" + 0.025*""科技"""
贸易摩擦,3,"0.086*""贸易"" + 0.084*""摩擦"" + 0.051*""产生"" + 0.029*""制造业"" + 0.027*""发生"""
贸易摩擦,4,"0.072*""贸易"" + 0.057*""投资"" + 0.056*""试验区"" + 0.056*""提升"" + 0.029*""行业"""
贸易摩擦,5,"0.128*""中国"" + 0.076*""贸易"" + 0.067*""摩擦"" + 0.064*""美国"" + 0.062*""经济"""
贸易摩擦,6,"0.091*""经济"" + 0.088*""贸易"" + 0.061*""中国"" + 0.058*""摩擦"" + 0.021*""市场"""
贸易摩擦,7,"0.095*""企业"" + 0.054*""风险"" + 0.049*""下滑"" + 0.026*""不会"" + 0.025*""港股"""
贸易摩擦,8,"0.089*""贸易"" + 0.076*""全球"" + 0.036*""摩擦"" + 0.033*""年度"" + 0.030*""市场"""
贸易摩擦,9,"0.068*""中国"" + 0.064*""盘点"" + 0.042*""贸易"" + 0.040*""揭晓"" + 0.033*""投资者"""
减税,0,"0.045*""延续"" + 0.037*""减税"" + 0.033*""降准"" + 0.025*""认为"" + 0.024*""有望"""
减税,1,"0.077*""方法"" + 0.039*""经济"" + 0.037*""活力"" + 0.025*""下行"" + 0.024*""记者"""
减税,2,"0.114*""减税"" + 0.055*""经济"" + 0.051*""支持"" + 0.037*""政策"" + 0.032*""降费"""
