关键词,主题数标号,主题
深指,8,"0.042*""本场"" + 0.042*""时间段"" + 0.042*""大跌"" + 0.042*""支持"" + 0.042*""美国"""
深指,9,"0.042*""大跌"" + 0.042*""意味着"" + 0.042*""支持"" + 0.042*""期待"" + 0.042*""股指"""
A股,0,"0.069*""A股"" + 0.060*""股票"" + 0.035*""股份"" + 0.033*""超话"" + 0.032*""公司"""
A股,1,"0.119*""A股"" + 0.081*""市场"" + 0.063*""指数"" + 0.054*""中国"" + 0.034*""资金"""
A股,2,"0.080*""A股"" + 0.029*""外资"" + 0.026*""市场"" + 0.024*""时间"" + 0.022*""调整"""
A股,3,"0.123*""A股"" + 0.062*""文章"" + 0.043*""头条"" + 0.027*""发布"" + 0.019*""大跌"""
A股,4,"0.038*""A股"" + 0.038*""走出"" + 0.031*""公司"" + 0.026*""有望"" + 0.025*""业绩"""
A股,5,"0.082*""A股"" + 0.031*""公司"" + 0.021*""市值"" + 0.021*""中国"" + 0.020*""成为"""
A股,6,"0.088*""A股"" + 0.033*""上市"" + 0.030*""能否"" + 0.023*""机构"" + 0.021*""操作"""
A股,7,"0.088*""A股"" + 0.037*""股民"" + 0.035*""市场"" + 0.029*""全球"" + 0.027*""还有"""
A股,8,"0.071*""A股"" + 0.048*""投资"" + 0.043*""视频"" + 0.026*""市场"" + 0.025*""价值"""
A股,9,"0.109*""A股"" + 0.044*""走势"" + 0.036*""市场"" + 0.034*""没有"" + 0.029*""港股"""
股市,0,"0.098*""股市"" + 0.039*""大盘"" + 0.022*""反弹"" + 0.019*""关注"" + 0.015*""市场"""
股市,1,"0.084*""经济"" + 0.075*""股市"" + 0.045*""市场"" + 0.039*""加息"" + 0.037*""美国"""
股市,2,"0.043*""股市"" + 0.023*""股份"" + 0.022*""黄金"" + 0.018*""资本"" + 0.018*""金融"""
股市,3,"0.057*""股市"" + 0.050*""风险"" + 0.040*""股票"" + 0.029*""财经"" + 0.021*""热点"""
股市,4,"0.114*""股市"" + 0.053*""没有"" + 0.032*""股民"" + 0.030*""机会"" + 0.023*""交易"""
股市,5,"0.160*""股市"" + 0.085*""中国"" + 0.028*""操作"" + 0.020*""策略"" + 0.018*""视频"""
股市,6,"0.073*""股市"" + 0.056*""指数"" + 0.033*""市场"" + 0.033*""下跌"" + 0.026*""继续"""
股市,7,"0.065*""股市"" + 0.063*""投资"" + 0.052*""个股"" + 0.050*""市场"" + 0.027*""价值"""
股市,8,"0.115*""文章"" + 0.102*""股市"" + 0.085*""头条"" + 0.046*""发布"" + 0.025*""直播"""
股市,9,"0.088*""超话"" + 0.077*""股市"" + 0.019*""股票"" + 0.015*""大跌"" + 0.015*""看盘"""
证券市场,0,"0.037*""证券市场"" + 0.035*""禁入"" + 0.029*""操纵"" + 0.028*""市场"" + 0.020*""长生"""
证券市场,1,"0.091*""证券市场"" + 0.055*""中国"" + 0.041*""投资者"" + 0.038*""新增"" + 0.022*""禁入"""
证券市场,2,"0.026*""证券市场"" + 0.021*""中国"" + 0.019*""周刊"" + 0.011*""股票"" + 0.008*""证券"""
证券市场,3,"0.034*""证券市场"" + 0.028*""操纵"" + 0.020*""市场"" + 0.020*""违法"" + 0.020*""证券"""
证券市场,4,"0.024*""中国"" + 0.020*""投资"" + 0.017*""证券市场"" + 0.013*""股票"" + 0.013*""证券"""
证券市场,5,"0.049*""证券市场"" + 0.027*""禁入"" + 0.015*""操纵"" + 0.013*""金融"" + 0.013*""上海"""
证券市场,6,"0.065*""证券市场"" + 0.035*""公司"" + 0.030*""禁入"" + 0.019*""决定书"" + 0.016*""文化"""
证券市场,7,"0.042*""市场"" + 0.032*""证券市场"" + 0.023*""文化"" + 0.021*""公司"" + 0.021*""相关"""
证券市场,8,"0.058*""证券市场"" + 0.019*""禁入"" + 0.017*""周刊"" + 0.015*""决定书"" + 0.015*""发展"""
证券市场,9,"0.054*""证券市场"" + 0.034*""禁入"" + 0.015*""推动"" + 0.015*""夫妇"" + 0.015*""长生"""
IPO,0,"0.038*""规模"" + 0.034*""音乐"" + 0.027*""上市"" + 0.027*""公司"" + 0.025*""发行"""
IPO,1,"0.036*""上市"" + 0.035*""经济"" + 0.031*""企业"" + 0.028*""提交"" + 0.019*""申请"""
IPO,2,"0.041*""移动"" + 0.027*""股权"" + 0.027*""音乐"" + 0.023*""过会"" + 0.018*""旗下"""
IPO,3,"0.047*""公司"" + 0.030*""上市"" + 0.020*""项目"" + 0.018*""行业"" + 0.013*""互联网"""
IPO,4,"0.033*""文章"" + 0.031*""美国"" + 0.031*""头条"" + 0.029*""股价"" + 0.029*""开盘"""
IPO,5,"0.050*""上市"" + 0.036*""破发"" + 0.029*""市场"" + 0.025*""日本"" + 0.024*""企业"""
IPO,6,"0.039*""估值"" + 0.039*""小米"" + 0.036*""上市"" + 0.035*""公司"" + 0.025*""定价"""
IPO,7,"0.106*""上市"" + 0.049*""中国"" + 0.045*""软银"" + 0.034*""全球"" + 0.033*""香港"""
IPO,8,"0.105*""企业"" + 0.084*""批文"" + 0.059*""有限公司"" + 0.057*""股份"" + 0.042*""筹资"""
IPO,9,"0.049*""上市"" + 0.047*""公司"" + 0.044*""美国"" + 0.022*""进行"" + 0.021*""融资"""
首次公开发行,0,"0.044*""发行"" + 0.027*""上市"" + 0.027*""申请"" + 0.027*""接收"" + 0.018*""小米"""
首次公开发行,1,"0.050*""上市"" + 0.037*""发行"" + 0.019*""股份"" + 0.019*""新曲"" + 0.013*""申请"""
首次公开发行,2,"0.035*""发行"" + 0.026*""公司"" + 0.018*""股份"" + 0.018*""舞台"" + 0.018*""上市"""
首次公开发行,3,"0.022*""发行"" + 0.022*""上市"" + 0.022*""小米"" + 0.022*""计划"" + 0.022*""投资者"""
首次公开发行,4,"0.025*""股东"" + 0.025*""激励"" + 0.025*""网站"" + 0.025*""资金"" + 0.025*""基础设施"""
首次公开发行,5,"0.037*""上市"" + 0.025*""发行股票"" + 0.025*""办法"" + 0.013*""发行"" + 0.013*""美国"""
首次公开发行,6,"0.035*""发行股票"" + 0.035*""试点"" + 0.026*""上市"" + 0.026*""发行"" + 0.018*""小米"""
首次公开发行,7,"0.060*""发行"" + 0.049*""上市"" + 0.023*""申请"" + 0.015*""奖励"" + 0.015*""企业"""
首次公开发行,8,"0.042*""音乐"" + 0.036*""股票"" + 0.028*""超过"" + 0.028*""美国"" + 0.028*""存托"""
首次公开发行,9,"0.060*""公司"" + 0.018*""发行"" + 0.018*""超人"" + 0.018*""交易"" + 0.018*""暴走"""
定增,0,"0.024*""资金"" + 0.020*""再融资"" + 0.020*""资本"" + 0.020*""公司"" + 0.020*""发行"""
定增,1,"0.036*""股份"" + 0.027*""资产"" + 0.023*""方案"" + 0.018*""发行"" + 0.018*""购买"""
定增,2,"0.043*""资产重组"" + 0.030*""终止"" + 0.017*""筹划"" + 0.017*""复牌"" + 0.013*""重组"""
定增,3,"0.037*""股票"" + 0.033*""公司"" + 0.022*""发行"" + 0.015*""终止"" + 0.015*""复牌"""
定增,4,"0.031*""终止"" + 0.031*""复牌"" + 0.031*""收购"" + 0.023*""科技"" + 0.023*""资产重组"""
定增,5,"0.026*""股份"" + 0.016*""二姐"" + 0.016*""超话"" + 0.016*""看盘"" + 0.011*""融资"""
定增,6,"0.052*""股份"" + 0.036*""公司"" + 0.033*""发行"" + 0.026*""终止"" + 0.016*""银行"""
定增,7,"0.025*""股价"" + 0.025*""股东"" + 0.013*""股份"" + 0.013*""发行股票"" + 0.013*""公司"""
定增,8,"0.034*""股份"" + 0.026*""股票"" + 0.019*""公司"" + 0.019*""资金"" + 0.015*""银行"""
定增,9,"0.025*""重组"" + 0.021*""市场"" + 0.021*""资本"" + 0.017*""充足率"" + 0.017*""股价"""
交易所,0,"0.029*""货币"" + 0.027*""公司"" + 0.026*""区块"" + 0.024*""中国"" + 0.018*""股票"""
交易所,1,"0.057*""退市"" + 0.051*""强制"" + 0.033*""违法"" + 0.028*""上市"" + 0.025*""期货"""
交易所,2,"0.024*""公司"" + 0.018*""证券"" + 0.016*""超话"" + 0.016*""收盘"" + 0.016*""上市"""
交易所,3,"0.053*""加密"" + 0.048*""货币"" + 0.034*""生物"" + 0.026*""区块"" + 0.017*""钻石"""
交易所,4,"0.032*""资产"" + 0.027*""区块"" + 0.026*""收到"" + 0.017*""上线"" + 0.015*""市场"""
交易所,5,"0.027*""数字"" + 0.024*""货币"" + 0.022*""回购"" + 0.021*""股份"" + 0.020*""企业"""
交易所,6,"0.028*""指引"" + 0.027*""披露"" + 0.025*""停牌"" + 0.020*""复牌"" + 0.019*""重组"""
交易所,7,"0.042*""公司"" + 0.032*""交易"" + 0.025*""美国"" + 0.021*""期货"" + 0.020*""上海"""
交易所,8,"0.024*""市场"" + 0.019*""可能"" + 0.018*""交易"" + 0.017*""资本"" + 0.013*""北京"""
交易所,9,"0.033*""加拿大"" + 0.028*""区块"" + 0.027*""市场"" + 0.025*""期货"" + 0.023*""股价"""
股票,0,"0.097*""股票"" + 0.046*""涨停"" + 0.027*""朋友"" + 0.025*""实盘"" + 0.021*""出现"""
股票,1,"0.088*""股票"" + 0.054*""股份"" + 0.031*""上市"" + 0.028*""回购"" + 0.025*""公司"""
股票,2,"0.099*""股票"" + 0.041*""风险"" + 0.026*""投资"" + 0.021*""资产"" + 0.020*""银行"""
股票,3,"0.051*""直播"" + 0.036*""股票"" + 0.034*""频道"" + 0.034*""观看"" + 0.033*""小时"""
股票,4,"0.076*""股票"" + 0.027*""证券"" + 0.024*""股东"" + 0.019*""控股"" + 0.018*""投资"""
股票,5,"0.088*""股票"" + 0.033*""期货"" + 0.028*""应该"" + 0.026*""还有"" + 0.023*""黄金"""
股票,6,"0.065*""个股"" + 0.049*""股票"" + 0.030*""没有"" + 0.022*""板块"" + 0.021*""上涨"""
股票,7,"0.085*""市场"" + 0.067*""股票"" + 0.033*""投资者"" + 0.029*""交流"" + 0.024*""买入"""
股票,8,"0.104*""超话"" + 0.082*""股票"" + 0.063*""文章"" + 0.040*""头条"" + 0.027*""财经"""
股票,9,"0.047*""股票"" + 0.043*""中国"" + 0.036*""公司"" + 0.025*""行业"" + 0.025*""市值"""
上市公司,0,"0.038*""公司"" + 0.031*""实现"" + 0.029*""股东"" + 0.024*""投资"" + 0.019*""中国"""
上市公司,1,"0.050*""企业"" + 0.030*""市场"" + 0.029*""风险"" + 0.029*""公司"" + 0.028*""质押"""
上市公司,2,"0.036*""头条"" + 0.032*""文章"" + 0.025*""相关"" + 0.020*""盈利"" + 0.019*""净利润"""
上市公司,3,"0.061*""回购"" + 0.052*""股份"" + 0.031*""发展"" + 0.031*""经济"" + 0.029*""中国"""
上市公司,4,"0.025*""公司"" + 0.023*""财经"" + 0.015*""证券"" + 0.015*""峰会"" + 0.014*""出售"""
上市公司,5,"0.036*""国资"" + 0.033*""股东"" + 0.030*""控股"" + 0.025*""公司"" + 0.024*""市值"""
上市公司,6,"0.045*""公司"" + 0.027*""中国"" + 0.021*""集团"" + 0.017*""机构"" + 0.015*""业务"""
上市公司,7,"0.027*""披露"" + 0.021*""公司"" + 0.021*""中国"" + 0.021*""业绩"" + 0.012*""预告"""
上市公司,8,"0.035*""市场"" + 0.033*""公司"" + 0.020*""产品"" + 0.020*""投资者"" + 0.019*""商誉"""
上市公司,9,"0.037*""中国"" + 0.030*""公司"" + 0.019*""交易"" + 0.016*""没有"" + 0.014*""需要"""
港股,0,"0.049*""港股"" + 0.016*""小米"" + 0.013*""上市"" + 0.010*""获得"" + 0.010*""跌幅"""
港股,1,"0.082*""港股"" + 0.022*""上市"" + 0.018*""模拟"" + 0.018*""交易"" + 0.016*""大赛"""
港股,2,"0.090*""港股"" + 0.017*""上市"" + 0.012*""模拟"" + 0.011*""大赛"" + 0.010*""市场"""
港股,3,"0.081*""港股"" + 0.024*""公司"" + 0.022*""上市"" + 0.016*""股价"" + 0.015*""小米"""
港股,4,"0.055*""港股"" + 0.018*""中国"" + 0.009*""焦点"" + 0.008*""市场"" + 0.007*""资金"""
港股,5,"0.051*""港股"" + 0.029*""中国"" + 0.020*""市值"" + 0.019*""焦点"" + 0.013*""公司"""
港股,6,"0.030*""港股"" + 0.027*""市场"" + 0.026*""上市"" + 0.007*""焦点"" + 0.007*""股价"""
港股,7,"0.088*""港股"" + 0.016*""投资"" + 0.015*""中国"" + 0.012*""市场"" + 0.012*""公司"""
港股,8,"0.052*""港股"" + 0.035*""上市"" + 0.015*""公司"" + 0.010*""集团"" + 0.009*""小米"""
港股,9,"0.095*""港股"" + 0.025*""擂台赛"" + 0.024*""红包"" + 0.018*""上市"" + 0.017*""中国"""
H股,0,"0.066*""投资"" + 0.062*""商业"" + 0.042*""H股"" + 0.027*""战略"" + 0.025*""上市"""
H股,1,"0.063*""H股"" + 0.029*""小米"" + 0.023*""中国"" + 0.018*""市场"" + 0.018*""股份"""
H股,2,"0.041*""H股"" + 0.021*""上市"" + 0.021*""采购"" + 0.011*""商业"" + 0.011*""银行"""
H股,3,"0.090*""H股"" + 0.021*""合并"" + 0.021*""银行"" + 0.011*""上市"" + 0.011*""发行"""
H股,4,"0.030*""H股"" + 0.030*""资产"" + 0.030*""香港"" + 0.016*""上市"" + 0.016*""投资"""
H股,5,"0.041*""H股"" + 0.036*""中国"" + 0.025*""跌幅"" + 0.025*""新低"" + 0.025*""扩大"""
H股,6,"0.041*""H股"" + 0.027*""银行"" + 0.021*""公司"" + 0.021*""复牌"" + 0.021*""上市"""
H股,7,"0.062*""H股"" + 0.031*""商业"" + 0.031*""投资"" + 0.024*""股权"" + 0.024*""战略"""
H股,8,"0.060*""H股"" + 0.038*""发行"" + 0.023*""申请"" + 0.023*""企业"" + 0.016*""啤酒"""
H股,9,"0.047*""H股"" + 0.047*""试点"" + 0.047*""全流通"" + 0.031*""市场"" + 0.024*""中国"""
美股,0,"0.021*""涨幅"" + 0.019*""大关"" + 0.017*""苹果"" + 0.017*""市场"" + 0.017*""股指"""
美股,1,"0.049*""投资者"" + 0.048*""跌幅"" + 0.041*""美国"" + 0.028*""经济"" + 0.026*""指数"""
美股,2,"0.040*""抄底"" + 0.033*""回落"" + 0.026*""超话"" + 0.025*""公司"" + 0.021*""熊市"""
美股,3,"0.094*""指数"" + 0.046*""收涨"" + 0.040*""标普"" + 0.037*""股指"" + 0.027*""涨幅"""
美股,4,"0.038*""反弹"" + 0.033*""市场"" + 0.025*""黄金"" + 0.023*""上涨"" + 0.019*""原油"""
美股,5,"0.073*""单日"" + 0.023*""股价"" + 0.019*""专利"" + 0.018*""纪录"" + 0.018*""人们"""
美股,6,"0.048*""继续"" + 0.030*""涨幅"" + 0.027*""直播"" + 0.023*""历史"" + 0.022*""不会"""
美股,7,"0.076*""市场"" + 0.043*""机会"" + 0.027*""能源"" + 0.023*""中国"" + 0.022*""美国"""
美股,8,"0.051*""暴涨"" + 0.033*""领涨"" + 0.032*""美国"" + 0.026*""单日"" + 0.026*""表现"""
美股,9,"0.050*""反弹"" + 0.050*""文章"" + 0.033*""头条"" + 0.028*""发布"" + 0.022*""熊市"""
绩优股,0,"0.052*""绩优股"" + 0.014*""文章"" + 0.014*""头条"" + 0.007*""业绩"" + 0.007*""市场"""
绩优股,1,"0.041*""绩优股"" + 0.012*""市场"" + 0.012*""时候"" + 0.006*""超跌"" + 0.006*""反弹"""
绩优股,2,"0.044*""文章"" + 0.039*""绩优股"" + 0.029*""业绩"" + 0.029*""头条"" + 0.020*""公司"""
绩优股,3,"0.048*""绩优股"" + 0.018*""个股"" + 0.013*""市场"" + 0.013*""市值"" + 0.009*""业绩"""
绩优股,4,"0.024*""绩优股"" + 0.024*""投资"" + 0.018*""银行"" + 0.018*""市场"" + 0.018*""机构"""
绩优股,5,"0.043*""绩优股"" + 0.016*""天蝎"" + 0.016*""个股"" + 0.016*""大盘"" + 0.016*""逃避"""
绩优股,6,"0.061*""绩优股"" + 0.022*""没有"" + 0.018*""个股"" + 0.018*""行情"" + 0.013*""问题"""
绩优股,7,"0.027*""绩优股"" + 0.014*""公司"" + 0.014*""市场"" + 0.014*""板块"" + 0.014*""收益"""
绩优股,8,"0.072*""绩优股"" + 0.019*""继续"" + 0.019*""市场"" + 0.015*""反弹"" + 0.015*""股份"""
绩优股,9,"0.022*""个股"" + 0.015*""绩优股"" + 0.015*""公司"" + 0.015*""没有"" + 0.015*""投资者"""
蓝筹股,0,"0.019*""低位"" + 0.019*""市场"" + 0.011*""板块"" + 0.011*""整体"" + 0.011*""反弹"""
蓝筹股,1,"0.037*""市场"" + 0.025*""板块"" + 0.020*""投资"" + 0.014*""出现"" + 0.014*""下跌"""
蓝筹股,2,"0.029*""大盘"" + 0.022*""大家"" + 0.019*""银行"" + 0.015*""消费"" + 0.011*""题材股"""
蓝筹股,3,"0.030*""大盘"" + 0.017*""市场"" + 0.014*""大跌"" + 0.014*""公司"" + 0.010*""重点"""
蓝筹股,4,"0.038*""投资"" + 0.038*""价值"" + 0.020*""资金"" + 0.016*""调整"" + 0.016*""市场"""
蓝筹股,5,"0.018*""个股"" + 0.018*""投资"" + 0.015*""板块"" + 0.015*""中国"" + 0.012*""大盘"""
蓝筹股,6,"0.035*""市场"" + 0.023*""机构"" + 0.018*""投资"" + 0.018*""资金"" + 0.015*""解释"""
蓝筹股,7,"0.099*""投资"" + 0.084*""解释"" + 0.082*""词汇"" + 0.082*""天使"" + 0.057*""经济"""
蓝筹股,8,"0.028*""大盘"" + 0.016*""机会"" + 0.014*""估值"" + 0.014*""业绩"" + 0.012*""继续"""
蓝筹股,9,"0.035*""大盘"" + 0.014*""没有"" + 0.014*""投资"" + 0.011*""强势"" + 0.011*""行情"""
分红,0,"0.122*""分红"" + 0.011*""公司"" + 0.011*""格力"" + 0.009*""投资"" + 0.008*""银行"""
分红,1,"0.068*""分红"" + 0.021*""公司"" + 0.015*""产业"" + 0.013*""村民"" + 0.013*""企业"""
分红,2,"0.020*""分红"" + 0.016*""没有"" + 0.015*""投资"" + 0.015*""发展"" + 0.014*""负债"""
分红,3,"0.035*""分红"" + 0.020*""格力"" + 0.018*""公司"" + 0.009*""没有"" + 0.009*""芯片"""
分红,4,"0.028*""分红"" + 0.020*""公司"" + 0.013*""企业"" + 0.012*""扶贫"" + 0.011*""老板"""
分红,5,"0.067*""分红"" + 0.011*""业绩"" + 0.010*""格力"" + 0.008*""村民"" + 0.007*""股价"""
分红,6,"0.060*""分红"" + 0.038*""格力"" + 0.019*""芯片"" + 0.011*""年报"" + 0.009*""农民"""
分红,7,"0.056*""分红"" + 0.011*""资金"" + 0.010*""公司"" + 0.009*""工作"" + 0.008*""产业"""
分红,8,"0.073*""分红"" + 0.030*""公司"" + 0.008*""芯片"" + 0.008*""格力"" + 0.008*""股东"""
分红,9,"0.041*""分红"" + 0.030*""贫困户"" + 0.016*""格力"" + 0.006*""种植"" + 0.006*""芯片"""
股利,0,"0.100*""公司"" + 0.051*""股东"" + 0.051*""全体"" + 0.027*""股派"" + 0.027*""应收"""
股利,1,"0.051*""股利"" + 0.051*""公司"" + 0.027*""投资"" + 0.027*""证金"" + 0.027*""猪蹄"""
股利,2,"0.067*""股东"" + 0.067*""年度"" + 0.054*""资本"" + 0.054*""公司"" + 0.041*""转增"""
股利,3,"0.031*""股利"" + 0.031*""量产"" + 0.031*""企业"" + 0.031*""相信"" + 0.031*""债券"""
股利,4,"0.078*""公司"" + 0.059*""证金"" + 0.040*""转增"" + 0.040*""股东"" + 0.040*""人民币"""
股利,5,"0.055*""资本"" + 0.055*""年度"" + 0.055*""人民币"" + 0.055*""转增"" + 0.038*""提议"""
股利,6,"0.044*""股东"" + 0.044*""资本"" + 0.044*""全体"" + 0.044*""提议"" + 0.044*""股利"""
股利,7,"0.058*""年度"" + 0.058*""转增"" + 0.058*""资本"" + 0.031*""股东"" + 0.031*""股利"""
股利,8,"0.125*""股东"" + 0.088*""全体"" + 0.075*""转增"" + 0.063*""资本"" + 0.051*""人民币"""
股利,9,"0.051*""股东"" + 0.051*""股派"" + 0.027*""公司"" + 0.027*""股利"" + 0.027*""全体"""
股价,0,"0.072*""股价"" + 0.063*""公司"" + 0.016*""中国"" + 0.014*""科技"" + 0.014*""机构"""
股价,1,"0.081*""股价"" + 0.070*""京东"" + 0.028*""起诉"" + 0.026*""公司"" + 0.022*""上市"""
股价,2,"0.093*""加拿大"" + 0.089*""股价"" + 0.027*""股份"" + 0.026*""回购"" + 0.024*""公司"""
股价,3,"0.077*""股价"" + 0.026*""指数"" + 0.026*""公司"" + 0.016*""宣布"" + 0.014*""财经"""
股价,4,"0.072*""股价"" + 0.038*""市场"" + 0.038*""苹果"" + 0.031*""市值"" + 0.022*""业绩"""
股价,5,"0.081*""股价"" + 0.017*""茅台"" + 0.016*""市场"" + 0.015*""销售"" + 0.015*""超过"""
股价,6,"0.075*""股价"" + 0.029*""开业"" + 0.024*""中国"" + 0.024*""影响"" + 0.021*""事件"""
股价,7,"0.065*""股价"" + 0.036*""苹果"" + 0.035*""中国"" + 0.027*""跌幅"" + 0.027*""公司"""
股价,8,"0.093*""股价"" + 0.043*""中国"" + 0.041*""游戏"" + 0.038*""版号"" + 0.030*""首富"""
股价,9,"0.066*""股价"" + 0.041*""苹果"" + 0.024*""预期"" + 0.019*""了解"" + 0.019*""销量"""
熔断,0,"0.027*""熔断"" + 0.017*""大盘"" + 0.017*""股灾"" + 0.011*""楼市"" + 0.011*""经济"""
熔断,1,"0.080*""熔断"" + 0.027*""股灾"" + 0.020*""市场"" + 0.012*""个股"" + 0.012*""没有"""
熔断,2,"0.040*""熔断"" + 0.015*""大盘"" + 0.015*""股灾"" + 0.010*""导致"" + 0.010*""成交"""
熔断,3,"0.018*""设备"" + 0.012*""影响"" + 0.012*""基金"" + 0.012*""服务"" + 0.012*""超过"""
熔断,4,"0.070*""熔断"" + 0.014*""供电"" + 0.010*""走势"" + 0.010*""成交"" + 0.010*""工作人员"""
熔断,5,"0.017*""熔断"" + 0.015*""没有"" + 0.010*""股灾"" + 0.010*""超话"" + 0.010*""送电"""
熔断,6,"0.014*""熔断"" + 0.014*""股灾"" + 0.014*""神经"" + 0.009*""数据"" + 0.009*""成交额"""
熔断,7,"0.022*""英特尔"" + 0.017*""熔断"" + 0.017*""公司"" + 0.017*""内存"" + 0.017*""影响"""
熔断,8,"0.065*""熔断"" + 0.017*""交易"" + 0.012*""保险丝"" + 0.008*""内存"" + 0.008*""导致"""
熔断,9,"0.096*""熔断"" + 0.018*""漏洞"" + 0.015*""英特尔"" + 0.009*""幽灵"" + 0.009*""小时"""
开盘,0,"0.073*""开盘"" + 0.060*""徐州"" + 0.036*""认筹"" + 0.026*""楼市"" + 0.018*""楼盘"""
开盘,1,"0.073*""开盘"" + 0.036*""外盘"" + 0.029*""午盘"" + 0.022*""济南"" + 0.020*""现货"""
开盘,2,"0.082*""开盘"" + 0.056*""项目"" + 0.025*""预计"" + 0.017*""套房"" + 0.016*""洋房"""
开盘,3,"0.028*""大盘"" + 0.027*""黄金"" + 0.027*""低开"" + 0.026*""超话"" + 0.021*""单子"""
开盘,4,"0.102*""开盘"" + 0.028*""涨停"" + 0.024*""跌停"" + 0.020*""股份"" + 0.017*""长征"""
开盘,5,"0.078*""操作"" + 0.077*""期货"" + 0.068*""原油"" + 0.049*""开盘"" + 0.025*""大家"""
开盘,6,"0.045*""开盘"" + 0.027*""户型"" + 0.027*""项目"" + 0.022*""时间"" + 0.019*""出来"""
开盘,7,"0.123*""黄金"" + 0.072*""原油"" + 0.053*""期货"" + 0.031*""开盘"" + 0.029*""上海"""
开盘,8,"0.083*""开盘"" + 0.039*""待定"" + 0.027*""价格"" + 0.020*""房价"" + 0.017*""新盘"""
开盘,9,"0.066*""位置"" + 0.043*""行情"" + 0.043*""原油"" + 0.041*""老师"" + 0.029*""进场"""
开市,0,"0.056*""开市"" + 0.017*""好运"" + 0.014*""交易"" + 0.013*""夜市"" + 0.012*""文化"""
开市,1,"0.074*""开市"" + 0.033*""关门"" + 0.031*""破五"" + 0.029*""禁忌"" + 0.027*""接财"""
开市,2,"0.059*""开市"" + 0.024*""好运"" + 0.022*""市场"" + 0.014*""动土"" + 0.012*""愿望"""
开市,3,"0.026*""开市"" + 0.012*""好运"" + 0.012*""出行"" + 0.010*""忌讳"" + 0.008*""金典"""
开市,4,"0.036*""开市"" + 0.021*""祈祷"" + 0.021*""嫁娶"" + 0.016*""视频"" + 0.012*""出行"""
开市,5,"0.075*""开市"" + 0.021*""动土"" + 0.014*""好运"" + 0.012*""长生"" + 0.011*""求财"""
开市,6,"0.044*""开市"" + 0.018*""嫁娶"" + 0.016*""大集"" + 0.014*""纳采"" + 0.014*""理发"""
开市,7,"0.052*""开市"" + 0.011*""夜市"" + 0.009*""财神"" + 0.009*""上市"" + 0.007*""大家"""
开市,8,"0.046*""开市"" + 0.009*""财神"" + 0.009*""出行"" + 0.008*""交易"" + 0.007*""词讼"""
开市,9,"0.055*""开市"" + 0.014*""搬家"" + 0.009*""嫁娶"" + 0.009*""忌讳"" + 0.009*""好运"""
收盘,0,"0.042*""收盘"" + 0.023*""涨停"" + 0.022*""继续"" + 0.020*""信号"" + 0.016*""进入"""
收盘,1,"0.095*""收盘"" + 0.034*""新低"" + 0.030*""市值"" + 0.026*""指数"" + 0.026*""收跌"""
收盘,2,"0.051*""收盘"" + 0.034*""原油"" + 0.026*""反弹"" + 0.024*""调整"" + 0.023*""原油期货"""
收盘,3,"0.035*""还有"" + 0.032*""继续"" + 0.023*""板块"" + 0.022*""增长"" + 0.022*""解盘"""
